tech_field;tech_field_name;tech_group_name
1;Electrical machinery, apparatus, energy;Electrical & Audio-Visual Technologies
2;Audio-visual technology;Electrical & Audio-Visual Technologies
3;Telecommunications;Information & Communication Technology
4;Digital Communication;Information & Communication Technology
5;Basic Communciation Processes;Information & Communication Technology
6;Computer Technology;Computer Science & Semiconducturs
7;IT methods for management;Information & Communication Technology
8;Semiconducters;Computer Science & Semiconducturs
9;Optics;Instruments
10;Measurement;Instruments
11;Analysis of biological materials;MedTech
12;Control;Instruments
13;Medical technology;MedTech
14;Organic fine chemistry;Pharmaceuticals & Biotechnology
15;Biotechnology;Pharmaceuticals & Biotechnology
16;Pharmaceuticals;Pharmaceuticals & Biotechnology
17;Macromolecular chemistry, polymers;Chemistry & Materials
18;Food chemistry;Chemistry & Materials
19;Basic materials chemistry;Chemistry & Materials
20;Materials, metallurgy;Chemistry & Materials
21;Surface technology, coating;Chemistry & Materials
22;Micro-structural and nano-technology;Chemistry & Materials
23;Chemical engineering;Chemistry & Materials
24;Environmental technology;Machinery Transportation & Mechanical Engineering
25;Handling;Machinery Transportation & Mechanical Engineering
26;Machine tools;Machinery Transportation & Mechanical Engineering
27;Engines, pumps, turbines;Machinery Transportation & Mechanical Engineering
28;Textile and paper machines;Machinery Transportation & Mechanical Engineering
29;Other special machines;Machinery Transportation & Mechanical Engineering
30;Thermal processes and apparatus;Machinery Transportation & Mechanical Engineering
31;Mechanical elements;Machinery Transportation & Mechanical Engineering
32;Transport;Machinery Transportation & Mechanical Engineering
33;Furniture, games;Consumer Goods & Civil Engineering
34;Other consumer goods;Consumer Goods & Civil Engineering
35;Civil engineering;Consumer Goods & Civil Engineering
