"country_name","p_year","country","origin","share","country_id"
"Austria",1985,"AT","Turkey",0.00370947595907981,10
"Austria",1986,"AT","India",0.00215085556796076,10
"Austria",1998,"AT","Slavic-Russian",0.0092860277213135,10
"Austria",1995,"AT","China",0.000206785652953817,10
"Austria",1987,"AT","India",0.00241062065735191,10
"Austria",1987,"AT","Persian",0.00321379894087188,10
"Austria",1988,"AT","India",0.000808753637896056,10
"Austria",1985,"AT","Persian",0.00182585302264457,10
"Austria",1988,"AT","Persian",0.00300663075790402,10
"Austria",1985,"AT","Slavic-Russian",0.00467635923503663,10
"Austria",1985,"AT","SouthEastAsia",0.000884388586613373,10
"Austria",1989,"AT","SouthEastAsia",0.00530927665944384,10
"Austria",1998,"AT","China",0.000744430810587812,10
"Austria",1986,"AT","Slavic-Russian",0.00289001481232368,10
"Austria",1986,"AT","SouthEastAsia",0.00226625752000251,10
"Austria",1986,"AT","Turkey",0.00855775448859526,10
"Austria",1986,"AT","Persian",0.00605918277158878,10
"Austria",1988,"AT","China",0.000178831732936416,10
"Austria",1987,"AT","Turkey",0.00138488316331673,10
"Austria",1985,"AT","India",0.0047485185617788,10
"Austria",1988,"AT","Turkey",0.00500000847928436,10
"Austria",1989,"AT","India",0.00395870988229414,10
"Austria",1989,"AT","Persian",0.00205820093741947,10
"Austria",1994,"AT","China",0.00251757824563289,10
"Austria",1994,"AT","India",0.00119980432053835,10
"Austria",1989,"AT","Turkey",0.00388064461992699,10
"Austria",1994,"AT","Slavic-Russian",0.00508441098493938,10
"Austria",1991,"AT","China",0.000358205214520883,10
"Austria",1995,"AT","Persian",0.00230905421593827,10
"Austria",1987,"AT","SouthEastAsia",0.00141339689831802,10
"Austria",1992,"AT","China",0.00026027577642155,10
"Austria",1992,"AT","India",0.00183171098659866,10
"Austria",1988,"AT","Slavic-Russian",0.00514247956585767,10
"Austria",1985,"AT","China",0.000772938482841858,10
"Austria",1992,"AT","SouthEastAsia",0.000961008303429023,10
"Austria",1997,"AT","Persian",0.00704511168230253,10
"Austria",1998,"AT","India",0.00253536614383284,10
"Austria",1998,"AT","Persian",0.0048671058800553,10
"Austria",1997,"AT","Turkey",0.00462715000723958,10
