"p_year","country","tech_group","share","country_name"
1985,"AT","Chemistry & Materials",0.0185561768301009,"Austria"
1985,"AT","Consumer Goods & Civil Engineering",NA,"Austria"
1985,"AT","Electrical Machinery",NA,"Austria"
1985,"AT","Engines, Turbines, Thermal & Environmental Technologies",NA,"Austria"
1985,"AT","Machines & Mechanical Engineering",0.022776255256077,"Austria"
1985,"AT","Pharmaceuticals & Biotechnology",NA,"Austria"
1986,"AT","Chemistry & Materials",0.0209477838504958,"Austria"
1986,"AT","Consumer Goods & Civil Engineering",0.0364668623766438,"Austria"
1986,"AT","Engines, Turbines, Thermal & Environmental Technologies",NA,"Austria"
1986,"AT","Machines & Mechanical Engineering",0.0238362092000119,"Austria"
1987,"AT","Chemistry & Materials",0.0207878827166236,"Austria"
1987,"AT","Consumer Goods & Civil Engineering",0.0276714436291586,"Austria"
1987,"AT","Electrical Machinery",NA,"Austria"
1987,"AT","Engines, Turbines, Thermal & Environmental Technologies",NA,"Austria"
1987,"AT","Machines & Mechanical Engineering",0.0219174138792219,"Austria"
1987,"AT","Pharmaceuticals & Biotechnology",NA,"Austria"
1988,"AT","Chemistry & Materials",0.0242929992504761,"Austria"
1988,"AT","Consumer Goods & Civil Engineering",0.0279744077131134,"Austria"
1988,"AT","Engines, Turbines, Thermal & Environmental Technologies",0.0181908086233825,"Austria"
1988,"AT","Machines & Mechanical Engineering",0.013772118018716,"Austria"
1989,"AT","Chemistry & Materials",0.0243907230507197,"Austria"
1989,"AT","Consumer Goods & Civil Engineering",0.0219727071395192,"Austria"
1989,"AT","Electrical Machinery",NA,"Austria"
1989,"AT","Machines & Mechanical Engineering",0.0148290354295003,"Austria"
1989,"AT","Pharmaceuticals & Biotechnology",NA,"Austria"
1990,"AT","Chemistry & Materials",0.0214695140546193,"Austria"
1990,"AT","Consumer Goods & Civil Engineering",0.024893149999656,"Austria"
1990,"AT","Electrical & Audiovisual Technologies",NA,"Austria"
1990,"AT","Electrical Machinery",0.0107697828672664,"Austria"
1990,"AT","Information & Communication Technology",NA,"Austria"
1990,"AT","Machines & Mechanical Engineering",0.0136732873942933,"Austria"
1991,"AT","Electrical & Audiovisual Technologies",NA,"Austria"
1991,"AT","Electrical Machinery",0.0176838058373256,"Austria"
1991,"AT","Information & Communication Technology",NA,"Austria"
1991,"AT","Machines & Mechanical Engineering",0.010701949497579,"Austria"
1992,"AT","Chemistry & Materials",0.0138750043293861,"Austria"
1992,"AT","Electrical & Audiovisual Technologies",NA,"Austria"
1992,"AT","Electrical Machinery",0.0250506439357673,"Austria"
1992,"AT","Engines, Turbines, Thermal & Environmental Technologies",0.0175337625809236,"Austria"
1992,"AT","Information & Communication Technology",NA,"Austria"
1992,"AT","Machines & Mechanical Engineering",0.0117826510626404,"Austria"
1993,"AT","Electrical & Audiovisual Technologies",NA,"Austria"
1993,"AT","Electrical Machinery",0.0283161071595562,"Austria"
1993,"AT","Information & Communication Technology",NA,"Austria"
1993,"AT","Machines & Mechanical Engineering",0.012916950868611,"Austria"
1994,"AT","Electrical & Audiovisual Technologies",0.0172248586049876,"Austria"
1994,"AT","Electrical Machinery",0.0248332273374747,"Austria"
1994,"AT","Information & Communication Technology",0.0188875903606217,"Austria"
1994,"AT","Machines & Mechanical Engineering",0.0178253936110283,"Austria"
1995,"AT","Chemistry & Materials",0.0142278240166575,"Austria"
1995,"AT","Consumer Goods & Civil Engineering",0.0256830663938535,"Austria"
1995,"AT","Electrical & Audiovisual Technologies",0.0173579292069268,"Austria"
1995,"AT","Electrical Machinery",0.0285483436350264,"Austria"
1995,"AT","Information & Communication Technology",0.0225927936454473,"Austria"
1995,"AT","Machines & Mechanical Engineering",0.01610331267722,"Austria"
1996,"AT","Chemistry & Materials",0.0103762858313217,"Austria"
1996,"AT","Consumer Goods & Civil Engineering",0.021758176143746,"Austria"
1996,"AT","Electrical & Audiovisual Technologies",0.0179294506143053,"Austria"
1996,"AT","Electrical Machinery",0.0245393343036602,"Austria"
1996,"AT","Information & Communication Technology",0.0219815256556688,"Austria"
1996,"AT","Machines & Mechanical Engineering",0.0154741668756489,"Austria"
1997,"AT","Chemistry & Materials",0.0232976866567286,"Austria"
1997,"AT","Consumer Goods & Civil Engineering",0.0159446423961051,"Austria"
1997,"AT","Electrical & Audiovisual Technologies",0.0202968901740635,"Austria"
1997,"AT","Electrical Machinery",0.0198587570916006,"Austria"
1997,"AT","Engines, Turbines, Thermal & Environmental Technologies",0.0297188364517642,"Austria"
1997,"AT","Information & Communication Technology",0.0275118653705396,"Austria"
1997,"AT","Machines & Mechanical Engineering",0.0217874034576037,"Austria"
1998,"AT","Chemistry & Materials",0.0307008660938567,"Austria"
1998,"AT","Consumer Goods & Civil Engineering",0.0196351152811624,"Austria"
1998,"AT","Electrical & Audiovisual Technologies",0.0206340919891895,"Austria"
1998,"AT","Electrical Machinery",0.0225317705894939,"Austria"
1998,"AT","Information & Communication Technology",0.0271773517858775,"Austria"
1998,"AT","Machines & Mechanical Engineering",0.0289778169503945,"Austria"
1999,"AT","Chemistry & Materials",0.039401802169983,"Austria"
1999,"AT","Consumer Goods & Civil Engineering",0.0104306842430296,"Austria"
1999,"AT","Electrical & Audiovisual Technologies",0.0190679544519554,"Austria"
1999,"AT","Electrical Machinery",0.0234190758085525,"Austria"
1999,"AT","Engines, Turbines, Thermal & Environmental Technologies",0.0240309546200703,"Austria"
1999,"AT","Information & Communication Technology",0.0259115582621921,"Austria"
1999,"AT","Machines & Mechanical Engineering",0.0228850886035872,"Austria"
2000,"AT","Chemistry & Materials",0.0467207289006749,"Austria"
2000,"AT","Consumer Goods & Civil Engineering",0.0144801810059017,"Austria"
2000,"AT","Electrical & Audiovisual Technologies",0.0202249763036574,"Austria"
2000,"AT","Electrical Machinery",0.0242455239647694,"Austria"
2000,"AT","Engines, Turbines, Thermal & Environmental Technologies",0.0202122349183507,"Austria"
2000,"AT","Information & Communication Technology",0.0202201787055631,"Austria"
2000,"AT","Instruments",NA,"Austria"
2000,"AT","Machines & Mechanical Engineering",0.0287163819304343,"Austria"
2000,"AT","Pharmaceuticals & Biotechnology",NA,"Austria"
2001,"AT","Chemistry & Materials",0.0470522362225309,"Austria"
2001,"AT","Computer Technology",NA,"Austria"
2001,"AT","Consumer Goods & Civil Engineering",0.0182269765897597,"Austria"
2001,"AT","Electrical & Audiovisual Technologies",0.0158377048174421,"Austria"
2001,"AT","Electrical Machinery",0.0246964773361925,"Austria"
2001,"AT","Engines, Turbines, Thermal & Environmental Technologies",0.0220571202152626,"Austria"
2001,"AT","Information & Communication Technology",0.0225141766179196,"Austria"
2001,"AT","Instruments",NA,"Austria"
2001,"AT","Machines & Mechanical Engineering",0.0370074284970688,"Austria"
2001,"AT","Pharmaceuticals & Biotechnology",0.0432364615816099,"Austria"
2002,"AT","Chemistry & Materials",0.0331048676787208,"Austria"
2002,"AT","Consumer Goods & Civil Engineering",0.0195086309016721,"Austria"
2002,"AT","Electrical & Audiovisual Technologies",0.0146030825767677,"Austria"
2002,"AT","Electrical Machinery",0.0264969042532217,"Austria"
2002,"AT","Engines, Turbines, Thermal & Environmental Technologies",0.0219391435833341,"Austria"
2002,"AT","Information & Communication Technology",0.0188652801724522,"Austria"
2002,"AT","Instruments",NA,"Austria"
2002,"AT","Machines & Mechanical Engineering",0.0299985845189291,"Austria"
2002,"AT","Pharmaceuticals & Biotechnology",0.0526373867132024,"Austria"
2003,"AT","Chemistry & Materials",0.0315236444473354,"Austria"
2003,"AT","Consumer Goods & Civil Engineering",0.0165892966767301,"Austria"
2003,"AT","Electrical & Audiovisual Technologies",0.0157482176423502,"Austria"
2003,"AT","Electrical Machinery",0.0271151461148476,"Austria"
2003,"AT","Engines, Turbines, Thermal & Environmental Technologies",0.00733064659232827,"Austria"
2003,"AT","Information & Communication Technology",0.0317286877719104,"Austria"
2003,"AT","Machines & Mechanical Engineering",0.0242103439312784,"Austria"
2003,"AT","Pharmaceuticals & Biotechnology",0.0631386462038507,"Austria"
2004,"AT","Chemistry & Materials",0.031108434664227,"Austria"
2004,"AT","Computer Technology",NA,"Austria"
2004,"AT","Consumer Goods & Civil Engineering",0.0181540995023751,"Austria"
2004,"AT","Electrical & Audiovisual Technologies",0.0181259373504481,"Austria"
2004,"AT","Electrical Machinery",0.0282162631819333,"Austria"
2004,"AT","Engines, Turbines, Thermal & Environmental Technologies",0.011031606135166,"Austria"
2004,"AT","Information & Communication Technology",0.0339461815829875,"Austria"
2004,"AT","Instruments",NA,"Austria"
2004,"AT","Machines & Mechanical Engineering",0.0276211871146837,"Austria"
2004,"AT","Pharmaceuticals & Biotechnology",0.085021883917938,"Austria"
2005,"AT","Chemistry & Materials",0.0228952507339264,"Austria"
2005,"AT","Computer Technology",NA,"Austria"
2005,"AT","Consumer Goods & Civil Engineering",0.0159302674351227,"Austria"
2005,"AT","Electrical & Audiovisual Technologies",0.0191864894782224,"Austria"
2005,"AT","Electrical Machinery",0.0270044055267866,"Austria"
2005,"AT","Engines, Turbines, Thermal & Environmental Technologies",0.0167762661605336,"Austria"
2005,"AT","Information & Communication Technology",0.0351348216650096,"Austria"
2005,"AT","Instruments",0.0311064776233948,"Austria"
2005,"AT","Machines & Mechanical Engineering",0.022890408904422,"Austria"
2005,"AT","Pharmaceuticals & Biotechnology",0.0967236203299645,"Austria"
2006,"AT","Chemistry & Materials",0.0262223484167313,"Austria"
2006,"AT","Computer Technology",NA,"Austria"
2006,"AT","Consumer Goods & Civil Engineering",0.0124159710247878,"Austria"
2006,"AT","Electrical & Audiovisual Technologies",0.0205812722368674,"Austria"
2006,"AT","Electrical Machinery",0.0279944018977009,"Austria"
2006,"AT","Engines, Turbines, Thermal & Environmental Technologies",0.0147322162254811,"Austria"
2006,"AT","Information & Communication Technology",0.0419850623167711,"Austria"
2006,"AT","Instruments",0.0401092756337502,"Austria"
2006,"AT","Machines & Mechanical Engineering",0.0215315525600974,"Austria"
2006,"AT","Pharmaceuticals & Biotechnology",0.0831846936575196,"Austria"
2007,"AT","Chemistry & Materials",0.0264057865976339,"Austria"
2007,"AT","Computer Technology",0.0320503501035512,"Austria"
2007,"AT","Consumer Goods & Civil Engineering",0.0191322374168473,"Austria"
2007,"AT","Electrical & Audiovisual Technologies",0.0217161199906597,"Austria"
2007,"AT","Electrical Machinery",0.0276523570486152,"Austria"
2007,"AT","Engines, Turbines, Thermal & Environmental Technologies",0.0194521026083164,"Austria"
2007,"AT","Information & Communication Technology",0.0404498834863922,"Austria"
2007,"AT","Instruments",0.0457742642882614,"Austria"
2007,"AT","Machines & Mechanical Engineering",0.0195130508727148,"Austria"
2007,"AT","Pharmaceuticals & Biotechnology",0.0889458010084628,"Austria"
2008,"AT","Chemistry & Materials",0.0334142866467662,"Austria"
2008,"AT","Computer Technology",0.0343423350188243,"Austria"
2008,"AT","Consumer Goods & Civil Engineering",0.0226326885559881,"Austria"
2008,"AT","Electrical & Audiovisual Technologies",0.0186882375824917,"Austria"
2008,"AT","Electrical Machinery",0.0255332133186008,"Austria"
2008,"AT","Engines, Turbines, Thermal & Environmental Technologies",0.0196825000879865,"Austria"
2008,"AT","Information & Communication Technology",0.0316850424519814,"Austria"
